student_id,archetype_label,triangle_congruence,similarity,pythagorean_theorem,special_right_triangles,soh_cah_toa,unit_circle,circles,coordinate_geometry,area_and_volume,angle_relationships,weak_topic,reasoning,is_simulated
sim_0050,area_and_volume,0.635,0.542,0.683,0.675,0.867,0.617,0.546,0.575,0.326,0.862,area_and_volume,"This student has a strong grasp of trigonometric ratios and angle relationships but consistently struggles with area and volume concepts, likely due to difficulty visualizing and applying multi-step spatial formulas.",1
sim_0051,angle_relationships,0.651,0.54,0.633,0.555,0.539,0.598,0.839,0.902,0.643,0.359,angle_relationships,"Student #51 thrives in coordinate-based and circle problems but consistently struggles with angle relationships, with that weakness rippling into related topics like special right triangles and SOH-CAH-TOA.",1
sim_0052,angle_relationships,0.609,0.594,0.631,0.505,0.512,0.627,0.876,0.871,0.579,0.405,angle_relationships,"Student #52 excels at coordinate-based and circle problems but consistently struggles with angle relationships, with that weakness partially bleeding into trigonometry and special right triangles while performing solidly in most other neutral topics.",1
sim_0053,angle_relationships,0.619,0.594,0.688,0.543,0.515,0.626,0.876,0.9,0.563,0.388,angle_relationships,"Student #53 excels in coordinate-based and circle problems but consistently struggles with angle relationships, with middling performance across most other topics and a slight weakness in trig-adjacent areas like special right triangles and soh_cah_toa.",1
sim_0054,angle_relationships,0.628,0.619,0.659,0.534,0.483,0.675,0.835,0.888,0.582,0.411,angle_relationships,"Student #54 excels at coordinate-based and circle problems but consistently struggles with angle relationships, with that weakness partially bleeding into trigonometry and special right triangles while performing solidly on most other neutral topics.",1
sim_0055,angle_relationships,0.593,0.616,0.649,0.543,0.492,0.714,0.906,0.79,0.607,0.373,angle_relationships,"Student #55 excels in coordinate-based and circle problems but consistently struggles with angle relationships, with moderate performance in most other topics and slightly weaker scores in trig-adjacent areas like soh_cah_toa and special right triangles.",1
sim_0056,angle_relationships,0.599,0.569,0.626,0.563,0.49,0.72,0.864,0.936,0.566,0.417,angle_relationships,"Student #56 excels in coordinate-based and circle problems but consistently struggles with angle relationships, and that weakness bleeds into related topics like triangle congruence and similarity where angle reasoning is required.",1
sim_0057,angle_relationships,0.634,0.56,0.676,0.513,0.469,0.662,0.851,0.871,0.637,0.365,angle_relationships,"Student #57 excels when working with coordinates and circles but consistently struggles with angle relationships, and that weakness bleeds into related topics like triangle congruence and similarity where angle reasoning is required.",1
sim_0058,angle_relationships,0.622,0.557,0.623,0.588,0.477,0.637,0.886,0.906,0.688,0.36,angle_relationships,"Student #58 thrives in coordinate-based and circle problems but consistently struggles with angle relationships, with that weakness bleeding slightly into trigonometry and special right triangles while performing adequately in most other neutral topics.",1
sim_0059,angle_relationships,0.586,0.538,0.667,0.516,0.534,0.739,0.793,0.952,0.646,0.417,angle_relationships,"Student #59 excels in coordinate-based and circle problems but consistently struggles with angle relationships, with related topics like special right triangles and trig showing mild weakness while more procedural topics land in the middle range.",1
sim_0060,angle_relationships,0.669,0.574,0.698,0.493,0.558,0.629,0.809,0.898,0.66,0.35,angle_relationships,"This student excels in coordinate-based and circle problems but consistently struggles with angle relationships, with that weakness partially bleeding into related topics like similarity and special right triangles.",1
sim_0061,unit_circle,0.892,0.864,0.62,0.394,0.373,0.293,0.584,0.596,0.662,0.726,unit_circle,"This student has a solid grasp of proof-based and visual topics like triangle congruence and similarity, but struggles significantly with trigonometric concepts including soh_cah_toa and the unit circle, with that weakness bleeding into special right triangles as well.",1
sim_0062,unit_circle,0.838,0.841,0.665,0.41,0.33,0.323,0.639,0.562,0.614,0.779,unit_circle,"Student #62 demonstrates solid grasp of proof-based and ratio reasoning in congruence and similarity, but struggles significantly once trigonometric functions and the unit circle are introduced, with related topics like special right triangles also dragging down as a consequence.",1
sim_0063,unit_circle,0.916,0.838,0.714,0.407,0.321,0.318,0.599,0.605,0.582,0.782,unit_circle,"Student #63 excels at proof-based and visual reasoning topics like congruence and similarity but struggles significantly with trigonometric concepts, with the weakness in soh_cah_toa cascading into poor performance on special right triangles and the unit circle.",1
sim_0064,unit_circle,0.864,0.833,0.683,0.415,0.366,0.287,0.658,0.587,0.587,0.784,unit_circle,"Student #64 excels at proof-based and visual similarity reasoning but consistently struggles with trigonometric concepts, showing a clear drop-off as topics shift from geometric relationships toward function-based or circular trigonometry.",1
sim_0065,unit_circle,0.886,0.851,0.674,0.464,0.383,0.294,0.587,0.63,0.657,0.781,unit_circle,"Student #65 excels at proof-based and ratio reasoning in congruence and similarity but struggles significantly with trigonometric concepts, showing a consistent drop-off from pythagorean theorem through special right triangles into soh_cah_toa and unit_circle.",1
sim_0066,unit_circle,0.911,0.793,0.701,0.375,0.354,0.29,0.576,0.541,0.666,0.784,unit_circle,"Student #66 has a solid grasp of proof-based and proportional reasoning topics like congruence and similarity, but struggles significantly with trigonometric concepts — soh_cah_toa and unit_circle — which also drags down their performance on special right triangles.",1
sim_0067,unit_circle,0.842,0.84,0.631,0.372,0.327,0.315,0.539,0.659,0.599,0.716,unit_circle,"Student #67 excels at proof-based and visual reasoning topics like congruence and similarity, but struggles significantly when trigonometric ratios and the unit circle are introduced, with that weakness bleeding into special right triangles as well.",1
sim_0068,unit_circle,0.878,0.787,0.665,0.448,0.321,0.331,0.574,0.555,0.63,0.739,unit_circle,"Student #68 excels at proof-based and visual reasoning topics like congruence and similarity, but struggles significantly when trigonometric ratios and the unit circle are involved, with the weakness bleeding into special right triangles as expected.",1
sim_0069,unit_circle,0.834,0.806,0.637,0.37,0.313,0.301,0.636,0.593,0.6,0.754,unit_circle,"This student has a solid grasp of triangle-based reasoning and similarity proofs but struggles significantly once trigonometry and the unit circle are introduced, with related topics like special right triangles also dragging down due to the trig connection.",1
sim_0070,unit_circle,0.87,0.801,0.692,0.395,0.359,0.26,0.59,0.608,0.587,0.728,unit_circle,"This student has a solid grasp of proof-based and proportional reasoning topics like congruence and similarity, but struggles significantly once trigonometry and the unit circle are introduced, with related topics like special right triangles also dragging down due to that conceptual gap.",1
sim_0071,pythagorean_theorem,0.639,0.619,0.425,0.301,0.419,0.644,0.891,0.826,0.57,0.675,pythagorean_theorem,"Student #71 excels in visually-grounded topics like circles and coordinate geometry but consistently struggles with right triangle relationships and the Pythagorean theorem, with the weakness bleeding into soh_cah_toa as expected.",1
sim_0072,pythagorean_theorem,0.609,0.627,0.386,0.341,0.452,0.615,0.841,0.762,0.65,0.711,pythagorean_theorem,"Student #72 thrives in visual/algebraic topics like circles and coordinate geometry but consistently struggles with right triangle relationships, and that weakness bleeds into soh_cah_toa as expected.",1
sim_0073,pythagorean_theorem,0.624,0.535,0.294,0.308,0.391,0.72,0.895,0.8,0.612,0.688,pythagorean_theorem,"Student #73 excels in circles and coordinate geometry but consistently struggles with pythagorean theorem and special right triangles, with that weakness bleeding into soh_cah_toa as well, suggesting a specific gap in triangle-based metric reasoning rather than geometry broadly.",1
sim_0074,pythagorean_theorem,0.589,0.603,0.405,0.286,0.403,0.668,0.879,0.832,0.573,0.66,pythagorean_theorem,"Student #74 thrives in visual/algebraic topics like circles and coordinate geometry but consistently struggles with right triangle relationships, with the weakness in pythagorean theorem bleeding into poor performance on special right triangles and dragging down soh_cah_toa as well.",1
sim_0075,pythagorean_theorem,0.641,0.611,0.354,0.341,0.439,0.612,0.836,0.783,0.624,0.707,pythagorean_theorem,"Student #75 excels in visual/algebraic topics like circles and coordinate geometry but consistently struggles with right triangle relationships, with the weakness in pythagorean theorem cascading into poor performance on special right triangles and dragging down soh_cah_toa as well.",1
sim_0076,pythagorean_theorem,0.661,0.56,0.368,0.331,0.448,0.679,0.839,0.781,0.625,0.737,pythagorean_theorem,"Student #76 thrives in circles and coordinate geometry but consistently struggles with Pythagorean theorem and special right triangles, with that weakness spilling into soh_cah_toa, while performing adequately in most other topics.",1
sim_0077,pythagorean_theorem,0.61,0.605,0.402,0.312,0.463,0.638,0.849,0.779,0.647,0.653,pythagorean_theorem,"Student #77 excels in visual/algebraic topics like circles and coordinate geometry but consistently struggles with right triangle relationships, with the weakness spilling into soh_cah_toa due to its reliance on the same foundational concepts.",1
sim_0078,pythagorean_theorem,0.637,0.568,0.312,0.333,0.458,0.627,0.875,0.775,0.568,0.685,pythagorean_theorem,"This student has a clear strength in circles and coordinate geometry but struggles significantly with the Pythagorean theorem and special right triangles, with the weakness bleeding into soh_cah_toa as expected given those topics' close relationship.",1
sim_0079,pythagorean_theorem,0.59,0.559,0.414,0.298,0.393,0.636,0.835,0.811,0.625,0.643,pythagorean_theorem,"Student #79 excels in circles and coordinate geometry but struggles significantly with right triangle relationships including the Pythagorean theorem, special right triangles, and SOH-CAH-TOA, suggesting a disconnect between algebraic-spatial reasoning and trigonometric foundations.",1
sim_0080,pythagorean_theorem,0.654,0.534,0.301,0.326,0.413,0.699,0.879,0.801,0.598,0.66,pythagorean_theorem,"This student thrives in visually-grounded topics like circles and coordinate geometry but consistently struggles with the algebraic and memorization demands of the Pythagorean theorem and special right triangles, with that weakness bleeding into trig as well.",1
sim_0081,similarity,0.607,0.428,0.652,0.632,0.85,0.914,0.578,0.548,0.657,0.725,similarity,"Student #81 excels in trigonometric topics like soh_cah_toa and unit_circle but struggles notably with similarity, showing a pattern of strong procedural trig skills alongside weak proportional/geometric reasoning.",1
sim_0082,similarity,0.64,0.39,0.638,0.734,0.895,0.82,0.565,0.578,0.579,0.645,similarity,"Student #82 excels in trigonometry-based topics like soh_cah_toa and unit_circle but struggles notably with similarity, likely due to difficulty with proportional reasoning and scale factor applications.",1
sim_0083,similarity,0.622,0.369,0.685,0.732,0.925,0.803,0.617,0.579,0.494,0.692,similarity,"Student #83 has a strong command of trigonometry-based topics like soh_cah_toa and unit_circle but struggles notably with similarity, likely due to difficulty with proportional reasoning and scale factor applications.",1
sim_0084,similarity,0.666,0.41,0.712,0.68,0.911,0.794,0.533,0.576,0.534,0.634,similarity,"Student #84 excels at trigonometric topics like soh_cah_toa and unit_circle but struggles notably with similarity, likely finding the proportional reasoning and scale factor logic unintuitive despite otherwise average-to-decent performance across most geometry topics.",1
sim_0085,similarity,0.672,0.415,0.598,0.646,0.833,0.915,0.58,0.582,0.598,0.632,similarity,"This student has clearly invested in trigonometry and the unit circle, achieving strong results there, but struggles notably with similarity concepts while performing middling across most other geometry topics.",1
sim_0086,similarity,0.61,0.342,0.659,0.727,0.838,0.844,0.601,0.63,0.512,0.65,similarity,"Student #86 excels in trigonometric topics like soh_cah_toa and unit_circle but struggles notably with similarity, likely due to difficulty with proportional reasoning and setting up scale factor relationships.",1
sim_0087,similarity,0.675,0.349,0.714,0.663,0.857,0.847,0.616,0.573,0.522,0.66,similarity,"Student #87 shows a clear strength in trigonometry-related topics like soh_cah_toa and unit_circle, but struggles notably with similarity concepts while performing middling to adequately across most other geometry topics.",1
sim_0088,similarity,0.602,0.419,0.634,0.753,0.849,0.808,0.602,0.643,0.549,0.707,similarity,"Student #88 excels in trigonometric topics like soh_cah_toa and unit_circle but struggles notably with similarity, likely due to difficulty reasoning about proportional relationships and scale factors.",1
sim_0089,similarity,0.672,0.424,0.646,0.687,0.868,0.816,0.541,0.583,0.524,0.65,similarity,"Student #89 excels at trigonometry-based topics like soh_cah_toa and unit_circle but struggles notably with similarity, likely due to difficulty with proportional reasoning and setting up scale factor relationships.",1
sim_0090,similarity,0.595,0.391,0.7,0.706,0.84,0.844,0.587,0.53,0.585,0.603,similarity,"This student has a strong grasp of trigonometric concepts like soh_cah_toa and the unit_circle but struggles notably with similarity, likely due to difficulty with proportional reasoning and setting up scale factor relationships.",1
sim_0091,coordinate_geometry,0.868,0.661,0.627,0.576,0.476,0.455,0.33,0.376,0.621,0.908,coordinate_geometry,"Student #91 excels at angle relationships and triangle congruence but struggles significantly with circles and coordinate geometry, with a noticeable weakness that cascades into related trigonometric and unit circle topics.",1
sim_0092,coordinate_geometry,0.868,0.709,0.614,0.616,0.509,0.426,0.363,0.246,0.576,0.878,coordinate_geometry,"Student #92 excels at proof-based and visual angle reasoning but struggles significantly with algebraic and formula-heavy topics like coordinate geometry and circles, with a gradual performance drop across trigonometry-related topics as well.",1
sim_0093,coordinate_geometry,0.926,0.643,0.654,0.594,0.48,0.416,0.376,0.323,0.571,0.869,coordinate_geometry,"Student #93 shows clear strength in proof-based and visual angle reasoning but struggles significantly with algebraic and formula-driven topics like coordinate geometry and circles, with a noticeable performance drop across trigonometry-related content as well.",1
sim_0094,coordinate_geometry,0.891,0.64,0.67,0.627,0.568,0.472,0.329,0.276,0.593,0.932,coordinate_geometry,"This student excels at proof-based and visual angle reasoning but struggles significantly with algebraic and formula-driven topics like coordinate geometry and circles, with a notable drop-off in trigonometry-related content as well.",1
sim_0095,coordinate_geometry,0.842,0.714,0.686,0.538,0.514,0.482,0.341,0.415,0.65,0.892,coordinate_geometry,"This student has a strong grasp of angle relationships and triangle congruence but consistently struggles with coordinate geometry and circles, with related topics like unit circle and soh_cah_toa also dragging down due to their weakness in applying algebraic and circular reasoning.",1
sim_0096,coordinate_geometry,0.883,0.668,0.653,0.54,0.516,0.491,0.356,0.404,0.603,0.821,coordinate_geometry,"This student has a solid grasp of angle relationships and triangle congruence but struggles notably with circles and coordinate geometry, with performance tapering off in trigonometry-related topics as well.",1
sim_0097,coordinate_geometry,0.857,0.632,0.746,0.538,0.49,0.457,0.32,0.282,0.586,0.78,coordinate_geometry,"This student has a solid grasp of proof-based and relational angle concepts but struggles significantly with coordinate-based and circular reasoning, with trigonometry serving as a middle-ground weakness that drags down related topics like special right triangles and unit circle.",1
sim_0098,coordinate_geometry,0.891,0.671,0.684,0.607,0.566,0.482,0.332,0.326,0.607,0.823,coordinate_geometry,"This student has a solid grasp of geometric reasoning and congruence-based proofs but struggles significantly when algebra and coordinate systems enter the picture, with performance degrading further into trigonometry and circle theorems.",1
sim_0099,coordinate_geometry,0.9,0.702,0.756,0.531,0.53,0.516,0.311,0.242,0.592,0.948,coordinate_geometry,"This student excels at reasoning through angle relationships and triangle congruence proofs but struggles significantly with coordinate-based and circle problems, with a noticeable drop-off in trig topics that bridge toward their weak areas.",1
sim_0100,coordinate_geometry,0.906,0.692,0.591,0.573,0.532,0.504,0.377,0.41,0.618,0.894,coordinate_geometry,"This student excels at angle relationships and triangle congruence (likely strong in proof-based and visual reasoning) but struggles significantly with circles and coordinate geometry, with a noticeable drop-off in trigonometric and algebraic-heavy topics like soh_cah_toa and unit_circle as well.",1
